,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,Level,clara.res.clustering
333,1,1,1,4,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,3,2,1,1.4,2
324,1,1,1,1,2,1,1,2,1,1,1,3,1,1,3,1,1,1,2,2,2,1,2,2,1,1.44,2
8,1,1,1,1,1,1,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1.64,2
327,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,3,2,1,1.76,2
335,1,1,1,1,2,1,5,2,1,2,1,2,1,2,1,1,2,2,1,1,2,2,2,3,4,1.76,2
588,3,2,1,1,4,4,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1.76,2
328,1,1,1,1,1,1,1,1,4,2,4,4,4,2,2,5,2,1,1,1,1,1,1,1,1,1.8,2
769,1,1,1,1,3,1,1,5,4,2,1,1,2,1,3,1,1,1,2,2,1,2,1,3,3,1.8,2
467,5,1,5,1,1,2,1,1,1,1,1,4,1,1,1,3,3,1,1,2,2,2,1,3,1,1.84,2
21,1,1,1,2,4,1,5,1,2,3,3,2,1,2,1,1,1,2,1,2,2,2,3,1,2,1.88,2
604,3,1,1,2,4,1,1,2,4,1,1,1,2,2,4,1,1,2,4,1,2,2,1,1,2,1.88,2
743,2,4,3,4,1,1,1,2,2,2,4,1,1,1,1,2,1,1,2,1,1,2,1,2,4,1.88,2
41,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92,2
42,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92,2
381,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92,2
31,1,1,1,1,5,1,4,1,1,4,1,1,1,1,1,2,1,1,2,4,2,2,2,4,4,1.96,2
36,1,1,1,1,3,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2
601,2,1,1,3,4,4,1,1,2,2,2,1,1,4,4,2,2,4,2,2,1,1,2,1,1,2.04,2
602,1,2,2,2,1,4,1,1,3,3,4,2,2,1,1,1,3,2,4,4,1,1,2,2,1,2.04,2
761,3,3,3,2,1,1,3,1,4,2,2,2,4,4,2,1,1,2,2,1,1,2,2,1,1,2.04,2
591,4,2,1,1,2,3,3,1,2,2,4,2,1,1,2,2,1,1,1,2,2,4,4,2,2,2.08,2
711,2,1,3,1,3,1,3,1,2,1,2,3,1,3,1,3,1,3,1,3,4,2,2,1,4,2.08,2
433,1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,4,2,1,5,4,4,2,1,2.12,2
607,2,2,4,1,1,2,2,1,1,1,2,2,4,1,4,4,2,1,1,4,4,4,1,1,1,2.12,2
623,3,1,2,2,2,1,1,3,4,4,1,1,2,2,1,2,2,2,1,3,4,4,1,2,2,2.12,2
744,3,2,1,1,2,3,4,4,2,2,1,2,4,4,1,1,2,2,1,2,1,1,2,3,2,2.12,2
745,3,1,2,1,3,4,4,2,1,1,1,2,2,1,2,3,3,4,2,2,2,2,1,1,3,2.12,2
777,1,1,1,1,4,4,3,1,3,4,3,1,1,1,1,2,1,2,3,1,2,3,3,3,3,2.12,2
58,5,1,1,1,5,5,3,1,1,2,3,1,1,3,1,3,1,1,3,3,1,1,3,3,1,2.16,2
125,1,1,5,2,1,1,4,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2.16,2
345,1,1,2,3,2,3,2,1,2,2,3,4,3,2,3,2,3,2,3,1,2,1,3,2,1,2.16,2
374,5,4,1,1,1,1,1,2,4,1,3,3,1,2,1,2,2,2,1,1,4,4,1,2,4,2.16,2
595,2,1,2,2,4,4,1,1,1,2,2,2,2,1,4,1,2,2,1,1,2,4,4,2,4,2.16,2
783,4,3,1,1,5,2,3,3,2,3,2,3,1,2,1,3,1,1,2,2,2,3,1,1,2,2.16,2
59,4,1,1,1,5,1,3,1,1,2,3,1,1,1,3,1,4,1,1,1,3,5,3,2,5,2.2,2
598,3,1,1,2,4,2,2,4,2,1,1,2,4,4,2,1,1,1,2,4,1,2,2,4,2,2.2,2
721,3,2,2,2,3,3,3,3,3,3,3,1,1,2,4,4,1,1,2,1,1,1,1,1,4,2.2,2
35,1,1,5,2,1,2,2,4,4,2,1,3,1,3,3,3,3,2,3,2,2,3,1,1,1,2.24,2
334,3,1,1,3,2,3,3,2,1,2,3,2,3,5,2,3,2,3,1,3,2,1,2,1,2,2.24,2
560,2,2,4,4,2,3,2,3,3,2,2,2,4,3,2,3,2,1,2,1,2,1,1,1,2,2.24,2
589,3,1,1,4,4,4,4,2,1,1,2,4,2,2,1,1,2,4,2,2,2,1,1,1,4,2.24,2
682,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,4,2,5,2,2,2,1,2,3,5,2.24,2
27,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28,2
28,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28,2
30,5,5,5,1,5,1,2,2,4,1,1,2,1,3,3,2,1,1,2,3,1,1,1,1,3,2.28,2
32,1,1,5,2,1,2,2,5,3,2,1,3,2,2,2,2,2,2,2,3,1,1,1,5,4,2.28,2
198,1,2,1,5,4,3,3,2,4,5,2,1,2,1,2,1,2,1,3,1,5,1,2,2,1,2.28,2
326,3,1,1,3,2,3,3,2,1,5,4,2,1,2,1,2,3,2,1,2,5,1,2,3,2,2.28,2
622,3,1,1,1,2,3,3,3,3,4,4,4,2,3,1,1,2,3,3,3,1,1,1,2,2,2.28,2
749,3,2,4,1,1,3,3,4,1,1,4,1,5,1,2,1,2,3,2,1,2,3,1,2,4,2.28,2
106,3,5,5,1,5,1,1,1,1,5,1,1,5,1,2,1,1,1,1,1,1,1,4,5,4,2.32,2
200,2,4,1,3,2,4,1,1,2,3,1,3,2,5,2,4,1,3,1,4,1,2,2,3,1,2.32,2
369,1,1,1,3,1,4,2,1,1,1,4,4,3,1,5,1,5,1,1,4,5,1,1,2,4,2.32,2
569,1,2,2,3,1,2,3,2,3,3,3,2,2,4,2,4,1,2,2,3,3,4,1,2,1,2.32,2
712,2,1,3,4,1,5,2,1,3,1,3,1,2,1,4,1,3,1,4,1,3,4,2,1,4,2.32,2
140,1,2,1,2,1,4,5,1,2,3,2,5,4,3,1,2,1,3,1,2,3,1,4,2,3,2.36,2
321,1,2,1,1,2,5,3,5,4,5,1,1,1,1,1,3,2,1,1,1,2,5,2,3,5,2.36,2
377,1,1,1,3,1,1,3,3,3,3,3,2,2,2,2,4,2,2,2,3,2,2,3,4,4,2.36,2
556,3,3,2,2,4,3,2,2,2,3,3,2,3,3,3,5,2,1,2,1,2,2,1,1,2,2.36,2
583,5,2,3,1,3,1,2,3,2,2,3,2,3,2,4,2,3,1,2,3,1,3,2,3,1,2.36,2
590,2,1,2,4,4,4,5,1,1,2,2,4,2,2,2,2,1,1,4,4,4,2,1,1,1,2.36,2
605,1,3,3,4,1,1,2,2,2,3,4,4,4,1,1,2,2,1,1,1,4,4,5,1,2,2.36,2
606,2,4,4,2,1,1,4,4,2,2,4,2,5,2,1,1,1,2,2,4,4,1,1,1,2,2.36,2
33,5,1,1,1,1,5,1,4,4,4,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2.4,2
554,5,2,2,2,4,2,3,3,3,2,3,2,3,2,3,5,2,2,2,1,1,1,2,2,1,2.4,2
562,4,3,2,4,2,3,3,2,2,2,4,2,2,4,4,3,2,1,2,1,2,2,1,1,2,2.4,2
586,3,1,1,2,4,4,2,1,1,2,2,4,4,4,2,1,1,2,2,2,4,4,4,1,2,2.4,2
594,3,2,1,3,5,4,2,2,2,1,1,2,2,4,2,2,2,4,1,1,2,1,2,4,5,2.4,2
720,2,2,3,4,4,4,2,2,2,1,2,4,4,4,4,2,1,1,1,4,2,1,1,1,2,2.4,2
781,3,4,2,2,2,2,3,3,3,2,1,2,2,1,4,2,2,2,2,2,2,2,4,4,2,2.4,2
4,5,1,1,1,5,1,4,4,2,1,1,1,1,1,3,5,3,2,1,2,2,2,3,4,5,2.44,2
37,5,4,1,1,3,1,2,1,3,2,4,1,3,2,4,1,5,1,3,2,4,2,3,1,2,2.44,2
64,1,2,1,1,3,1,1,1,5,4,2,5,4,1,1,3,3,4,5,2,1,3,4,1,2,2.44,2
129,1,2,1,3,1,5,1,1,5,4,1,4,1,3,2,1,1,5,1,3,1,2,5,3,4,2.44,2
139,2,1,3,2,2,2,5,1,1,2,1,2,5,4,4,5,2,2,2,3,2,3,3,1,1,2.44,2
370,1,5,2,2,5,5,5,5,1,2,1,1,1,2,2,1,2,1,2,1,2,1,3,5,3,2.44,2
558,2,3,3,2,2,3,3,4,3,4,3,2,3,3,3,4,1,2,2,1,2,2,1,1,2,2.44,2
732,5,1,1,2,3,5,4,4,2,1,1,2,1,3,4,1,3,1,1,2,2,2,3,2,5,2.44,2
38,5,1,2,4,4,2,2,1,2,3,1,3,1,4,1,5,3,2,3,1,2,4,2,1,3,2.48,2
109,5,2,1,3,3,3,4,2,3,4,2,2,1,3,3,2,2,2,1,2,3,3,2,2,2,2.48,2
193,1,2,3,1,2,1,4,1,2,1,4,4,5,5,3,3,4,3,4,1,1,2,1,3,1,2.48,2
349,3,1,4,2,1,3,2,2,5,2,1,3,1,2,1,3,1,3,1,3,4,4,2,5,3,2.48,2
517,4,4,4,4,2,2,1,1,2,2,4,2,2,2,2,1,1,1,2,2,2,2,4,4,5,2.48,2
568,1,3,4,3,1,2,2,3,4,2,2,3,3,3,2,5,1,2,2,1,2,3,2,2,4,2.48,2
600,3,2,5,5,1,1,1,2,2,4,4,5,1,1,2,2,2,2,1,5,5,1,1,2,2,2.48,2
620,1,2,1,3,1,3,1,4,4,5,1,1,2,3,5,2,2,3,1,2,1,4,4,2,4,2.48,2
755,2,3,1,1,2,4,5,1,1,2,4,2,1,1,5,5,2,1,1,2,3,2,4,5,2,2.48,2
762,2,4,3,3,3,5,2,4,4,2,3,3,3,2,1,1,1,2,1,1,1,1,2,3,5,2.48,2
831,3,3,1,1,4,3,1,4,3,3,4,2,1,3,3,3,2,2,3,2,2,2,2,2,3,2.48,2
53,5,2,1,1,1,3,4,4,3,2,1,2,2,3,3,3,2,2,2,2,2,2,2,4,5,2.52,2
93,5,3,1,1,4,3,1,2,3,2,4,2,2,2,3,4,2,2,2,2,2,2,2,4,3,2.52,2
555,3,2,3,2,2,2,3,2,2,3,2,3,2,3,3,5,3,3,4,2,2,1,1,2,3,2.52,2
599,3,2,4,5,5,1,1,2,2,1,1,2,4,4,2,2,2,4,4,2,1,4,2,2,1,2.52,2
618,4,5,3,4,3,5,4,3,1,3,1,2,1,3,1,3,1,3,1,2,3,4,1,1,1,2.52,2
842,1,1,4,1,1,1,1,5,4,3,4,2,4,5,1,4,1,1,1,1,2,4,1,5,5,2.52,2
111,5,2,2,3,1,3,4,2,3,4,4,1,3,3,2,2,2,1,2,3,3,3,2,2,2,2.56,2
113,5,2,2,1,3,3,3,2,3,4,4,3,3,2,2,2,1,2,3,3,3,2,2,2,2,2.56,2
127,5,2,1,3,4,3,4,2,3,4,2,2,1,3,3,2,2,2,1,2,3,3,3,2,2,2.56,2
141,1,2,1,2,3,4,2,1,2,1,2,3,1,3,2,2,3,4,5,5,4,5,3,2,1,2.56,2
197,1,2,1,3,2,3,4,1,2,1,2,4,2,2,3,2,3,3,2,4,2,4,2,4,5,2.56,2
346,1,2,1,2,3,4,3,1,2,3,3,3,2,2,1,3,3,5,2,4,3,2,4,2,3,2.56,2
347,1,2,1,5,2,1,2,1,2,2,3,2,2,3,3,4,2,3,2,3,2,5,3,3,5,2.56,2
617,1,2,3,2,1,2,4,1,2,1,2,4,4,1,5,1,5,5,5,2,1,4,1,2,3,2.56,2
835,3,2,2,3,3,3,3,4,4,3,3,2,4,2,1,1,1,1,3,3,3,1,4,1,4,2.56,2
135,1,5,3,5,1,1,5,1,2,4,4,2,5,4,1,1,3,4,3,4,1,1,1,1,2,2.6,2
367,3,1,1,1,1,4,5,5,1,5,5,1,1,1,5,1,1,1,2,2,1,3,4,5,5,2.6,2
380,1,1,1,3,5,3,4,3,2,2,2,4,2,2,4,3,2,2,2,3,3,3,2,3,3,2.6,2
542,2,2,2,2,3,3,4,3,2,3,3,3,3,2,3,3,3,2,3,2,3,2,2,2,3,2.6,2
552,5,4,2,4,4,2,3,4,2,1,2,4,5,2,4,4,1,2,1,2,1,2,2,1,1,2.6,2
570,2,3,4,2,2,2,2,3,4,2,2,3,3,3,3,5,2,1,2,1,4,4,3,2,1,2.6,2
786,1,1,5,4,5,3,4,3,3,3,3,2,1,4,1,1,1,1,1,1,4,4,1,4,4,2.6,2
855,5,4,4,4,5,1,3,1,2,4,4,4,2,1,2,1,1,2,1,1,2,1,2,5,3,2.6,2
880,1,3,1,3,4,1,5,3,2,2,5,2,1,3,2,4,2,2,2,3,2,2,3,2,5,2.6,2
884,1,1,4,3,3,1,2,4,3,2,2,2,1,4,2,4,2,2,2,5,3,3,3,2,4,2.6,2
49,4,5,5,1,5,1,2,1,1,2,3,1,1,5,3,1,4,1,1,1,3,5,3,2,5,2.64,2
94,5,3,5,1,5,1,1,2,3,3,4,2,2,2,3,2,2,2,2,2,2,2,2,4,4,2.64,2
118,5,4,4,5,3,2,3,2,2,2,3,2,2,2,2,3,1,2,3,3,2,3,2,2,2,2.64,2
530,2,2,2,4,3,3,3,3,2,2,3,3,3,2,2,3,3,3,2,2,3,3,2,3,3,2.64,2
540,4,2,4,2,2,4,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2.64,2
564,5,3,1,2,3,4,2,2,3,2,4,3,2,4,4,3,2,2,3,2,2,2,2,2,2,2.64,2
585,3,2,2,3,4,4,1,2,4,4,4,4,4,2,2,1,1,1,2,2,2,2,4,4,2,2.64,2
767,4,2,4,3,1,5,4,3,4,1,2,4,1,2,4,4,2,1,1,2,2,3,2,1,4,2.64,2
833,3,1,3,3,4,3,5,4,1,1,4,1,1,3,3,3,2,1,3,3,2,2,3,2,5,2.64,2
846,3,1,3,5,5,1,5,5,2,3,2,3,1,2,1,4,3,1,1,1,2,2,2,3,5,2.64,2
69,5,1,1,2,5,3,4,5,3,2,1,2,2,3,4,3,2,2,2,3,2,2,2,4,2,2.68,2
112,5,2,2,1,4,4,4,2,3,4,4,3,3,2,2,2,1,2,3,3,3,2,2,2,2,2.68,2
128,1,2,5,1,2,4,1,3,1,3,4,5,5,3,3,1,4,4,2,2,3,2,3,2,1,2.68,2
130,1,1,5,2,1,4,1,1,2,3,4,2,4,1,2,4,4,4,1,4,5,4,4,2,1,2.68,2
143,1,2,1,2,3,2,5,1,2,1,2,4,5,2,3,3,3,2,3,2,3,4,2,4,5,2.68,2
194,1,2,1,2,1,3,5,1,2,1,3,4,5,4,4,5,4,3,1,4,1,1,3,3,3,2.68,2
253,5,1,3,4,2,1,1,2,1,2,3,4,3,2,4,3,2,1,2,3,4,5,4,3,2,2.68,2
254,1,3,2,4,1,5,2,4,3,2,1,2,3,4,3,2,1,2,3,4,5,4,3,2,1,2.68,2
